0.000000,25.300991
29.024023,35.066469
38.020461,52.618546
54.153457,62.875893
63.037836,77.865493
80.150603,95.353608
96.756626,100.511288
102.568809,105.568809
109.701897,112.701897
113.047298,124.707955
129.414229,143.210549
144.673067,152.545146
158.225241,161.935277
179.471787,182.471787
194.132153,197.600221
207.811260,213.494225
215.047977,218.047977
220.724797,228.406970
228.555029,231.555029
232.889127,238.016260
238.499008,241.499008
242.729872,249.075273
263.119615,266.119615
267.016385,274.888464
302.986765,305.986765
310.240341,313.240341
316.139790,319.139790
320.121348,323.121348
344.840231,364.539371
366.643501,375.663438
377.911360,383.433675
384.505971,389.492287
390.470375,405.824114
405.826397,414.093161
416.244395,424.334145
424.880360,430.967431
431.030702,460.734909
461.850343,464.850343
464.915102,467.915102
468.638826,474.990177
476.655492,481.017552
481.439708,484.439708
485.398458,506.321420
509.431104,513.359308
519.802989,537.923489
538.039815,545.589600
546.617271,549.617271
551.696609,559.270691
560.808080,573.759001
574.245220,577.245220
577.339233,583.394570
584.421250,587.421250
587.985315,593.404991
594.149044,606.060594
606.946952,620.541963
621.699047,629.489808
629.594234,635.492887
637.079365,660.864785
661.875597,684.365895
688.522288,704.364920
707.592613,740.637659
740.705393,743.705393
744.565471,748.218982
751.447666,759.040590
759.055269,762.055269
762.116061,766.209874
768.310533,808.986090
810.456046,826.811868
827.155782,830.155782
830.986606,841.009123
841.204682,844.204682
845.326066,848.326066
853.793447,858.862072
861.253786,871.077969
877.452729,880.452729
881.551304,940.000081
940.707938,970.073886
970.295328,985.767572
986.061902,1020.745784
1020.884422,1025.365483
1025.375204,1030.759676
1031.399108,1041.414683
1043.900606,1051.047277
1052.376416,1072.756934
1072.779051,1095.592038
1168.051740,1171.051740
1180.555221,1183.555221
1190.978177,1253.813014
1291.263266,1298.649426
1370.133223,1373.344945
1373.745384,1450.158178
1451.747630,1461.882206
1463.079948,1470.363966
1471.406512,1492.837210
1492.872218,1525.524167
1525.719330,1541.904585
1542.102228,1554.571692
1554.898252,1623.605267
1646.017327,1651.759297
1712.589575,1800.322887
1800.450516,1816.853939
1820.122290,1829.161565
1831.585013,1844.617746
1844.643830,1847.643830
1848.715630,1858.574521
1858.617959,1902.617596
1904.733626,1907.733626
1907.954573,1921.447937
1924.120194,1931.037294
1931.852747,1939.578554
1939.613067,1960.815185
1962.308445,1969.851289
1969.858531,1980.246974
1980.449575,1989.488354
1989.523858,1992.523858
1992.765630,2015.176099
2015.384650,2032.475796
2032.683355,2038.878022
2041.509621,2044.509621
2046.114940,2050.184457
2051.318237,2063.081632
2067.065969,2078.196182
2079.724647,2098.971189
2099.322045,2124.238466
2124.487179,2128.806101
2133.672530,2138.179374
2139.939889,2151.886743
2152.029348,2156.717668
2158.379512,2161.379512
2161.597880,2165.422950
2165.464404,2183.745555
2184.705297,2193.993481
2195.719784,2200.227620
2200.598805,2218.974164
2219.920518,2225.068973
2225.265624,2231.278816
2231.451171,2245.365004
2247.110644,2250.110644
2251.805710,2256.301645
2256.769518,2270.554929
2270.937023,2276.466775
2277.754759,2290.715993
2294.075577,2298.634484
2298.768164,2301.768164
2302.942602,2307.673067
2309.314583,2319.389658
2319.509950,2355.100219
2357.732909,2366.796480
2367.331291,2371.706243
2372.087344,2376.269912
2378.393379,2387.326545
2389.515958,2398.539863
2402.495837,2408.481262
2408.733943,2411.733943
2411.917206,2425.732863
2425.927531,2443.043469
2443.266895,2447.207990
2447.840976,2450.840976
2451.227532,2454.227532
2457.364983,2466.698784
2469.366183,2510.215282
2511.095690,2519.791351
2521.848276,2535.558321
2537.186945,2544.969773
2546.249824,2564.937560
2565.123303,2571.117157
2571.292487,2574.292487
2574.846139,2599.315316
2600.354391,2608.014748
2609.242241,2612.242241
2617.448812,2620.448812
2620.630588,2625.238086
2625.610263,2636.272407
2636.449225,2660.367429
2660.953310,2670.233066
2670.610696,2673.610696
2674.917523,2702.492117
2703.538629,2712.251645
2712.326816,2716.580784
2718.635330,2724.559271
2724.632955,2729.306399
2732.308983,2742.836260
2744.520417,2750.577738
2751.567229,2758.489287
2760.130703,2776.520738
2782.418504,2785.418504
2804.370624,2830.062532
2834.099427,2856.540142
2857.215770,2860.421046
2862.452287,2873.439204
2874.670167,2879.360966
2881.975210,2885.249407
2885.448041,2888.716288
2889.277874,2892.277874
2893.440412,2904.351962
2908.231678,2911.439433
2926.831456,2933.474854
2934.402366,2941.319466
2944.450471,2948.920623
2960.032594,2980.018427
2982.949114,3004.284512
3006.217082,3012.057227
3014.097890,3030.540979
3034.290291,3037.767284
3039.670105,3052.483183
3052.859822,3055.859822
3055.984081,3060.649096
3060.728730,3066.955627
3067.195415,3070.195415
3070.275545,3073.275545
3076.799251,3080.003040
3080.014744,3084.388704
3084.680555,3093.281016
3095.059381,3119.286591
3120.262595,3124.876043
3128.415120,3137.364154
3141.039090,3146.854443
3150.829360,3163.527900
3163.947181,3171.219795
3171.963352,3180.087315
3180.131744,3191.086927
3191.757597,3199.853793
3200.400008,3205.178074
3210.278537,3217.586355
3221.776464,3250.215695
3252.125457,3256.717584
3257.534525,3260.534525
3264.378541,3275.603459
3278.106240,3281.106240
3283.986848,3292.847126
3293.121623,3320.467637
3322.158736,3330.310466
3332.516242,3338.945935
3338.972019,3347.961214
3349.496621,3355.227186
3357.288674,3360.561384
3361.553254,3364.553254
3368.849472,3377.864947
3378.463225,3386.739905
3389.511925,3398.816472
3400.465425,3413.493200
3413.979914,3417.713751
3417.938168,3428.848726
3429.410808,3441.342291
3442.498383,3456.002656
3459.686517,3469.662922
